title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
"m 6.7 - 63 km wnw of iquique, chile",6.7,2014-03-16 21:16:00,7,7,green,1,718,us,0,1.008,44.0,mww,20.0,-19.9807,-70.7022,"iquique, chile",unknown
"m 6.8 - 77 km wnw of indianola, california",6.8,2014-10-03 05:18:00,5,5,green,1,1211,nc,112,0.6568,229.0,mw,16.441,40.8287,-125.134,"indianola, california",unknown
"m 6.5 - 109 km nw of nago, japan",6.5,2014-02-03 20:11:00,4,5,green,1,668,us,0,1.001,17.0,mww,119.0,27.4312,127.367,"nago, japan",unknown
"m 6.5 - 171 km nne of greenland, barbados",6.5,2014-02-18 09:27:00,5,4,green,1,681,us,0,1.635,30.0,mww,14.83,14.6682,-58.9272,"greenland, barbados",unknown
"m 6.9 - 272 km ese of hotan, china",6.9,2014-12-02 09:19:00,3,8,yellow,0,733,us,0,7.496,18.0,mww,10.0,35.9053,82.5864,"hotan, china",people's republic of china
"m 6.5 - 32 km e of port-olry, vanuatu",6.5,2014-07-02 08:40:00,0,5,green,1,650,us,0,0.409,20.0,mww,122.0,-15.0691,167.372,"port-olry, vanuatu",vanuatu
m 6.5 - south of the kermadec islands,6.5,2014-02-02 09:26:00,0,3,green,1,650,us,0,3.651,22.0,mww,44.26,-32.9076,-177.881,the kermadec islands,unknown
"m 6.5 - 32 km w of sola, vanuatu",6.5,2014-01-01 16:03:00,0,4,green,1,650,us,0,3.997,14.0,mww,187.0,-13.8633,167.249,"sola, vanuatu",vanuatu
m 6.5 - fiji region,6.5,2013-11-23 07:48:00,3,4,green,0,651,us,0,5.194,22.0,mww,371.0,-17.1171,-176.545,fiji region,unknown
m 7.7 - scotia sea,7.7,2013-11-17 09:04:00,1,8,green,1,912,us,0,8.05,23.0,mww,10.0,-60.2738,-46.4011,scotia sea,united kingdom of great britain and northern ireland (the)
m 6.9 - scotia sea,6.9,2013-11-16 03:34:00,0,5,green,1,732,us,0,8.284,17.0,mww,9.97,-60.2627,-47.0621,scotia sea,united kingdom of great britain and northern ireland (the)
